# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_060bb.zip
# HRC tree: 8-handed, effective 60.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): co vsopen vs utg1 open @ 60bb
# HRC node: id=2156, seat=4, sequence=FRFF
# Actions: ['fold', 'call', 'raise']
# VPIP estimate: 11.82%
notation,action,freq
AA,call,0.0708
AA,raise,0.9292
AKs,call,0.6505
AKs,raise,0.3495
AQs,call,0.5031
AQs,raise,0.4968
AJs,fold,0.0088
AJs,call,0.8424
AJs,raise,0.1489
ATs,fold,0.5353
ATs,call,0.0879
ATs,raise,0.3768
A9s,fold,0.344
A9s,call,0.6516
A9s,raise,0.0044
A8s,fold,0.6491
A8s,call,0.3327
A8s,raise,0.0181
A7s,fold,0.9978
A7s,raise,0.0022
A6s,fold,0.9701
A6s,call,0.0043
A6s,raise,0.0256
A5s,fold,0.761
A5s,call,0.233
A5s,raise,0.0061
A4s,fold,0.8784
A4s,call,0.0524
A4s,raise,0.0692
A3s,fold,0.9924
A3s,call,0.0076
A2s,fold,0.9861
A2s,call,0.0085
A2s,raise,0.0054
AKo,call,0.0397
AKo,raise,0.9602
KK,call,0.9266
KK,raise,0.0734
KQs,fold,0.002
KQs,call,0.9948
KQs,raise,0.0031
KJs,fold,0.1645
KJs,call,0.8189
KJs,raise,0.0166
KTs,fold,0.4287
KTs,call,0.5684
KTs,raise,0.0029
K9s,fold,0.9595
K9s,call,0.0394
K9s,raise,0.0012
K8s,fold,0.9918
K8s,call,0.006
K8s,raise,0.0021
K7s,fold,0.9043
K7s,call,0.0953
K7s,raise,0.0004
K6s,fold,0.9943
K6s,call,0.0044
K6s,raise,0.0013
K5s,fold,0.953
K5s,call,0.0469
K5s,raise,0.0002
K4s,fold,0.9669
K4s,call,0.033
K3s,fold,0.9983
K3s,call,0.0017
K2s,fold,0.9972
K2s,call,0.0027
AQo,fold,0.0013
AQo,call,0.7613
AQo,raise,0.2374
KQo,fold,0.0663
KQo,call,0.9333
KQo,raise,0.0004
QQ,call,0.8575
QQ,raise,0.1425
QJs,fold,0.9385
QJs,call,0.0504
QJs,raise,0.0111
QTs,fold,0.9919
QTs,call,0.0075
QTs,raise,0.0006
Q9s,fold,0.9488
Q9s,call,0.0489
Q9s,raise,0.0022
Q8s,fold,0.9987
Q8s,call,0.0009
Q8s,raise,0.0004
Q7s,fold,0.994
Q7s,call,0.0039
Q7s,raise,0.0021
Q6s,fold,0.9902
Q6s,raise,0.0098
Q5s,fold,0.9911
Q5s,call,0.0088
Q5s,raise,0.0001
Q4s,fold,0.9996
Q4s,call,0.0001
Q4s,raise,0.0003
Q3s,fold,0.9997
Q3s,raise,0.0003
Q2s,fold,0.9998
Q2s,call,0.0002
AJo,fold,0.0076
AJo,call,0.9847
AJo,raise,0.0078
KJo,fold,0.9869
KJo,call,0.0122
KJo,raise,0.0009
QJo,fold,0.9992
QJo,call,0.0008
JJ,call,0.998
JJ,raise,0.002
JTs,fold,0.9736
JTs,call,0.0264
J9s,fold,0.9297
J9s,call,0.0109
J9s,raise,0.0594
J8s,fold,0.9991
J8s,raise,0.0009
J7s,fold,0.9992
J7s,call,0.0004
J7s,raise,0.0004
J6s,fold,0.9943
J6s,call,0.0044
J6s,raise,0.0013
J5s,fold,0.9994
J5s,call,0.0006
J4s,fold,0.9966
J4s,call,0.0034
J4s,raise,0.0001
J3s,fold,1.0
J2s,fold,0.9995
J2s,call,0.0005
ATo,fold,0.8546
ATo,call,0.098
ATo,raise,0.0475
KTo,fold,0.9986
KTo,call,0.0009
KTo,raise,0.0005
QTo,fold,0.9992
QTo,call,0.0007
QTo,raise,0.0001
JTo,fold,0.9976
JTo,call,0.0022
JTo,raise,0.0003
TT,call,0.3227
TT,raise,0.6773
T9s,fold,0.7355
T9s,call,0.2645
T8s,fold,0.9986
T8s,call,0.0013
T8s,raise,0.0002
T7s,fold,0.9962
T7s,call,0.0024
T7s,raise,0.0013
T6s,fold,0.9994
T6s,call,0.0006
T5s,fold,0.9993
T5s,call,0.0005
T5s,raise,0.0002
T4s,fold,0.9984
T4s,call,0.0011
T4s,raise,0.0005
T3s,fold,0.9987
T3s,call,0.0013
T2s,fold,0.9981
T2s,call,0.0019
A9o,fold,0.9875
A9o,call,0.0121
A9o,raise,0.0005
K9o,fold,0.976
K9o,call,0.0237
K9o,raise,0.0003
Q9o,fold,0.999
Q9o,call,0.0008
Q9o,raise,0.0001
J9o,fold,0.9972
J9o,call,0.0004
