# poker.academy CE-Symmetric — 60bb vs3bet | hero HJ vs SB
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 60bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,1.0
44,call,1.0
55,call,1.0
66,call,1.0
77,call,1.0
88,call,1.0
99,call,1.0
AA,call,1.0
AKs,call,0.9942
AKs,threeBet,0.0058
AQs,call,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,1.0
A8s,call,1.0
A7s,call,1.0
A6s,call,1.0
A5s,call,0.99
A5s,jam,0.01
A4s,call,0.8361
A4s,jam,0.1639
A3s,call,1.0
A2s,call,1.0
AKo,call,0.16
AKo,jam,0.8321
AKo,threeBet,0.0079
KK,call,0.9882
KK,threeBet,0.0118
KQs,call,1.0
KJs,call,1.0
KTs,call,1.0
K9s,call,1.0
K8s,call,0.9722
K8s,fold,0.0278
K7s,call,0.9921
K7s,fold,0.0079
K6s,call,1.0
K5s,call,1.0
K4s,call,0.7881
K4s,fold,0.2119
AQo,call,1.0
KQo,call,1.0
QQ,call,0.8221
QQ,jam,0.1779
QJs,call,1.0
QTs,call,1.0
Q9s,call,1.0
Q8s,call,0.7501
Q8s,fold,0.2499
AJo,call,0.9942
AJo,threeBet,0.0058
KJo,call,0.8478
KJo,fold,0.1522
JJ,call,0.326
JJ,jam,0.674
JTs,call,1.0
J9s,call,1.0
J8s,call,1.0
ATo,call,0.97
ATo,fold,0.03
KTo,call,0.0679
KTo,fold,0.9321
QTo,call,0.122
QTo,fold,0.878
TT,call,1.0
T9s,call,1.0
T8s,call,1.0
T7s,call,0.338
T7s,fold,0.662
98s,call,1.0
97s,call,1.0
87s,call,1.0
86s,call,1.0
76s,call,1.0
65s,call,1.0
54s,call,1.0
