# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_060bb.zip
# HRC tree: 8-handed, effective 60.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): hj vsopen vs lj open @ 60bb
# HRC node: id=736, seat=3, sequence=FFR
# Actions: ['fold', 'call', 'raise']
# VPIP estimate: 12.27%
notation,action,freq
AA,call,0.4143
AA,raise,0.5857
AKs,call,0.4742
AKs,raise,0.5258
AQs,call,0.5644
AQs,raise,0.4356
AJs,fold,0.0008
AJs,call,0.6475
AJs,raise,0.3517
ATs,fold,0.0032
ATs,call,0.9839
ATs,raise,0.0129
A9s,fold,0.9832
A9s,call,0.0001
A9s,raise,0.0167
A8s,fold,0.9243
A8s,call,0.0754
A8s,raise,0.0003
A7s,fold,0.3635
A7s,call,0.6356
A7s,raise,0.0009
A6s,fold,0.9561
A6s,call,0.0429
A6s,raise,0.001
A5s,fold,0.9727
A5s,call,0.0209
A5s,raise,0.0064
A4s,fold,0.9604
A4s,call,0.0387
A4s,raise,0.0009
A3s,fold,0.9995
A3s,call,0.0005
A2s,fold,0.9974
A2s,call,0.0026
A2s,raise,0.0001
AKo,call,0.4313
AKo,raise,0.5687
KK,call,0.5414
KK,raise,0.4586
KQs,fold,0.2677
KQs,call,0.6834
KQs,raise,0.0489
KJs,fold,0.1798
KJs,call,0.8177
KJs,raise,0.0025
KTs,fold,0.8374
KTs,call,0.1623
KTs,raise,0.0004
K9s,fold,0.954
K9s,call,0.0457
K9s,raise,0.0003
K8s,fold,0.9901
K8s,call,0.0052
K8s,raise,0.0047
K7s,fold,0.9996
K7s,call,0.0004
K6s,fold,0.9913
K6s,call,0.0083
K6s,raise,0.0004
K5s,fold,0.9927
K5s,call,0.0056
K5s,raise,0.0017
K4s,fold,0.995
K4s,call,0.0044
K4s,raise,0.0005
K3s,fold,0.9999
K3s,raise,0.0001
K2s,fold,0.9867
K2s,call,0.0121
K2s,raise,0.0011
AQo,call,0.5249
AQo,raise,0.4751
KQo,fold,0.5002
KQo,call,0.482
KQo,raise,0.0178
QQ,call,0.9909
QQ,raise,0.0091
QJs,fold,0.5329
QJs,call,0.467
QTs,fold,0.8394
QTs,call,0.1601
QTs,raise,0.0004
Q9s,fold,0.998
Q9s,call,0.0013
Q9s,raise,0.0008
Q8s,fold,0.9957
Q8s,call,0.0006
Q8s,raise,0.0037
Q7s,fold,0.9958
Q7s,call,0.0042
Q6s,fold,0.9948
Q6s,call,0.0038
Q6s,raise,0.0014
Q5s,fold,0.9952
Q5s,call,0.0028
Q5s,raise,0.002
Q4s,fold,0.9787
Q4s,call,0.0211
Q4s,raise,0.0002
Q3s,fold,0.9998
Q3s,call,0.0002
Q2s,fold,1.0
AJo,fold,0.0001
AJo,call,0.9996
AJo,raise,0.0003
KJo,fold,0.9932
KJo,call,0.0046
KJo,raise,0.0022
QJo,fold,0.9959
QJo,call,0.0041
JJ,call,0.9224
JJ,raise,0.0776
JTs,fold,0.7321
JTs,call,0.2678
JTs,raise,0.0002
J9s,fold,0.9649
J9s,call,0.0207
J9s,raise,0.0143
J8s,fold,0.9098
J8s,call,0.0901
J8s,raise,0.0001
J7s,fold,0.9966
J7s,call,0.0032
J7s,raise,0.0002
J6s,fold,0.9938
J6s,call,0.0061
J5s,fold,0.9984
J5s,call,0.0008
J5s,raise,0.0008
J4s,fold,0.9996
J4s,call,0.0002
J4s,raise,0.0002
J3s,fold,1.0
J2s,fold,1.0
ATo,call,0.9937
ATo,raise,0.0063
KTo,fold,0.9967
KTo,call,0.0017
KTo,raise,0.0015
QTo,fold,0.9965
QTo,call,0.0034
QTo,raise,0.0001
JTo,fold,0.9972
JTo,call,0.0027
JTo,raise,0.0001
TT,call,0.5037
TT,raise,0.4963
