# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_060bb.zip
# HRC tree: 8-handed, effective 60.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): hj vsopen vs utg1 open @ 60bb
# HRC node: id=2155, seat=3, sequence=FRF
# Actions: ['fold', 'call', 'raise']
# VPIP estimate: 11.06%
notation,action,freq
AA,raise,1.0
AKs,call,0.9976
AKs,raise,0.0024
AQs,call,0.5882
AQs,raise,0.4118
AJs,call,0.6513
AJs,raise,0.3487
ATs,fold,0.0039
ATs,call,0.9816
ATs,raise,0.0146
A9s,fold,0.9452
A9s,call,0.0325
A9s,raise,0.0223
A8s,fold,0.5681
A8s,call,0.3603
A8s,raise,0.0715
A7s,fold,0.8561
A7s,call,0.1403
A7s,raise,0.0036
A6s,fold,0.9001
A6s,call,0.0986
A6s,raise,0.0013
A5s,fold,0.9577
A5s,call,0.0396
A5s,raise,0.0028
A4s,fold,0.9978
A4s,call,0.0011
A4s,raise,0.0012
A3s,fold,0.9232
A3s,call,0.0765
A3s,raise,0.0003
A2s,fold,0.864
A2s,call,0.1248
A2s,raise,0.0112
AKo,raise,1.0
KK,call,0.9702
KK,raise,0.0298
KQs,fold,0.4188
KQs,call,0.3393
KQs,raise,0.2419
KJs,fold,0.5336
KJs,call,0.4652
KJs,raise,0.0013
KTs,fold,0.9698
KTs,call,0.0295
KTs,raise,0.0007
K9s,fold,0.9765
K9s,call,0.0226
K9s,raise,0.0009
K8s,fold,0.9881
K8s,call,0.0108
K8s,raise,0.0011
K7s,fold,0.9894
K7s,call,0.0105
K6s,fold,0.9839
K6s,call,0.0158
K6s,raise,0.0003
K5s,fold,0.9989
K5s,call,0.0011
K4s,fold,0.9678
K4s,call,0.0271
K4s,raise,0.005
K3s,fold,0.9976
K3s,call,0.0017
K3s,raise,0.0007
K2s,fold,0.971
K2s,call,0.0287
K2s,raise,0.0002
AQo,call,0.4422
AQo,raise,0.5578
KQo,fold,0.8361
KQo,call,0.1629
KQo,raise,0.001
QQ,call,0.9992
QQ,raise,0.0008
QJs,fold,0.805
QJs,call,0.1924
QJs,raise,0.0026
QTs,fold,0.6173
QTs,call,0.3424
QTs,raise,0.0403
Q9s,fold,0.9932
Q9s,call,0.0034
Q9s,raise,0.0034
Q8s,fold,0.9923
Q8s,call,0.0074
Q8s,raise,0.0004
Q7s,fold,0.9889
Q7s,call,0.0111
Q6s,fold,0.9985
Q6s,call,0.0005
Q6s,raise,0.001
Q5s,fold,0.989
Q5s,call,0.011
Q4s,fold,0.9986
Q4s,call,0.0003
Q4s,raise,0.001
Q3s,fold,0.9974
Q3s,call,0.0024
Q3s,raise,0.0002
Q2s,fold,0.9986
Q2s,call,0.0014
AJo,call,0.9783
AJo,raise,0.0217
KJo,fold,0.9505
KJo,call,0.045
KJo,raise,0.0045
QJo,fold,0.9777
QJo,call,0.0223
JJ,call,0.0004
JJ,raise,0.9996
JTs,fold,0.9949
JTs,call,0.0007
JTs,raise,0.0043
J9s,fold,0.9828
J9s,call,0.0138
J9s,raise,0.0033
J8s,fold,0.9716
J8s,call,0.0091
J8s,raise,0.0192
J7s,fold,0.9898
J7s,call,0.0017
J7s,raise,0.0085
J6s,fold,0.9999
J6s,raise,0.0001
J5s,fold,0.9999
J5s,call,0.0001
J4s,fold,0.9999
J4s,call,0.0001
J3s,fold,0.9991
J3s,call,0.0004
J3s,raise,0.0004
J2s,fold,0.9992
J2s,call,0.0006
J2s,raise,0.0002
ATo,fold,0.8991
ATo,call,0.0999
ATo,raise,0.0009
KTo,fold,0.9971
KTo,call,0.0014
KTo,raise,0.0015
QTo,fold,0.9995
QTo,call,0.0004
JTo,fold,0.9857
JTo,call,0.0142
JTo,raise,0.0001
TT,call,0.9922
TT,raise,0.0078
T9s,fold,0.9974
T9s,call,0.0001
T9s,raise,0.0025
T8s,fold,0.998
T8s,call,0.0018
T8s,raise,0.0002
T7s,fold,0.9982
T7s,call,0.0002
T7s,raise,0.0016
T6s,fold,0.9982
T6s,call,0.0006
T6s,raise,0.0012
T5s,fold,0.9994
T5s,call,0.0002
T5s,raise,0.0003
T4s,fold,0.9975
T4s,call,0.0001
T4s,raise,0.0024
T3s,fold,1.0
T2s,fold,0.9997
T2s,call,0.0003
A9o,fold,0.9971
A9o,call,0.0009
A9o,raise,0.002
K9o,fold,0.9999
Q9o,fold,0.9975
Q9o,raise,0.0025
J9o,fold,0.9996
J9o,call,0.0004
T9o,fold,0.997
T9o,call,0.003
99,fold,0.0001
99,call,0.999
99,raise,0.0009
98s,fold,0.9992
98s,call,0.0002
98s,raise,0.0006
97s,fold,0.9977
97s,call,0.0019
97s,raise,0.0004
96s,fold,0.998
96s,call,0.002
96s,raise,0.0001
95s,fold,0.9999
95s,raise,0.0001
94s,fold,0.9987
94s,call,0.0013
93s,fold,0.9988
93s,call,0.0003
93s,raise,0.0009
92s,fold,0.9996
92s,raise,0.0004
A8o,fold,0.9901
A8o,call,0.0089
A8o,raise,0.001
K8o,fold,0.9974
K8o,call,0.0026
Q8o,fold,0.9995
Q8o,call,0.0002
Q8o,raise,0.0003
J8o,fold,0.9998
J8o,raise,0.0002
T8o,fold,0.9998
T8o,raise,0.0002
98o,fold,1.0
88,call,0.9918
88,raise,0.0082
87s,fold,0.9948
87s,call,0.0023
87s,raise,0.0029
86s,fold,0.977
86s,call,0.0227
86s,raise,0.0002
85s,fold,1.0
84s,fold,1.0
83s,fold,0.9999
83s,raise,0.0001
82s,fold,0.9999
A7o,fold,0.9923
A7o,call,0.0058
A7o,raise,0.0019
K7o,fold,0.9988
K7o,call,0.0011
K7o,raise,0.0001
Q7o,fold,1.0
J7o,fold,0.9997
J7o,call,0.0003
T7o,fold,0.9999
T7o,call,0.0001
97o,fold,1.0
87o,fold,0.9997
87o,call,0.0003
77,fold,0.0029
77,call,0.9471
77,raise,0.05
76s,fold,0.999
76s,call,0.0009
75s,fold,0.9909
75s,call,0.0091
74s,fold,0.9992
74s,call,0.0005
74s,raise,0.0003
73s,fold,0.9998
73s,call,0.0002
72s,fold,0.9997
72s,call,0.0003
A6o,fold,0.9945
A6o,call,0.0051
A6o,raise,0.0005
K6o,fold,0.9994
K6o,call,0.0006
Q6o,fold,0.9999
Q6o,call,0.0001
J6o,fold,0.9997
J6o,raise,0.0002
T6o,fold,1.0
96o,fold,1.0
86o,fold,0.9999
86o,call,0.0001
76o,fold,0.9998
76o,raise,0.0002
66,fold,0.6696
66,call,0.329
66,raise,0.0013
65s,fold,0.9991
65s,call,0.0009
64s,fold,1.0
63s,fold,0.9997
63s,raise,0.0003
62s,fold,0.9999
A5o,fold,0.9976
A5o,call,0.0024
K5o,fold,0.9984
K5o,raise,0.0016
Q5o,fold,0.9999
Q5o,call,0.0001
Q5o,raise,0.0001
J5o,fold,0.9999
J5o,call,0.0001
T5o,fold,1.0
95o,fold,0.9999
95o,raise,0.0001
85o,fold,1.0
75o,fold,1.0
65o,fold,1.0
55,fold,0.9802
55,call,0.0185
55,raise,0.0012
54s,fold,0.9963
54s,call,0.0022
54s,raise,0.0015
53s,fold,0.9997
53s,call,0.0001
53s,raise,0.0002
52s,fold,1.0
A4o,fold,0.9994
A4o,call,0.0006
A4o,raise,0.0001
K4o,fold,1.0
Q4o,fold,0.9998
Q4o,raise,0.0002
J4o,fold,0.9999
J4o,call,0.0001
T4o,fold,0.9999
T4o,call,0.0001
94o,fold,0.9999
94o,call,0.0001
84o,fold,0.9999
84o,call,0.0001
74o,fold,0.9999
64o,fold,0.9999
64o,call,0.0001
54o,fold,1.0
44,fold,0.9988
44,call,0.0009
44,raise,0.0002
43s,fold,0.9993
43s,call,0.0007
42s,fold,0.9999
A3o,fold,0.9971
A3o,call,0.002
A3o,raise,0.0009
K3o,fold,0.9997
K3o,call,0.0002
Q3o,fold,0.9999
Q3o,call,0.0001
J3o,fold,0.9999
J3o,call,0.0001
T3o,fold,1.0
93o,fold,1.0
83o,fold,0.9999
83o,call,0.0001
73o,fold,1.0
63o,fold,0.9999
63o,call,0.0001
63o,raise,0.0001
53o,fold,1.0
43o,fold,0.9998
43o,raise,0.0002
33,fold,0.9947
33,call,0.0016
33,raise,0.0038
32s,fold,0.9975
32s,call,0.0025
A2o,fold,0.9999
A2o,call,0.0001
K2o,fold,0.9999
Q2o,fold,1.0
J2o,fold,0.9999
J2o,raise,0.0001
T2o,fold,1.0
92o,fold,1.0
82o,fold,1.0
72o,fold,1.0
62o,fold,1.0
52o,fold,1.0
42o,fold,1.0
32o,fold,1.0
22,fold,0.9991
22,raise,0.0009
