# poker.academy CE-Symmetric — 60bb vs3bet | hero LJ vs BTN
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 60bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,1.0
44,call,1.0
55,call,1.0
66,call,1.0
77,call,0.9321
77,threeBet,0.0679
88,call,0.9882
88,threeBet,0.0118
99,call,0.9161
99,threeBet,0.0839
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,call,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,1.0
A8s,call,0.9861
A8s,threeBet,0.0139
A7s,call,0.764
A7s,threeBet,0.236
A6s,call,1.0
A5s,call,0.84
A5s,threeBet,0.16
A4s,call,0.9882
A4s,threeBet,0.0118
A3s,call,0.9722
A3s,threeBet,0.0278
A2s,call,0.6453
A2s,threeBet,0.3547
AKo,jam,0.62
AKo,threeBet,0.38
KK,threeBet,1.0
KQs,call,1.0
KJs,call,1.0
KTs,call,1.0
K9s,call,0.6381
K9s,threeBet,0.3619
K8s,call,0.4899
K8s,fold,0.5101
K7s,call,0.546
K7s,fold,0.454
K6s,call,0.9119
K6s,threeBet,0.0881
K5s,call,0.5556
K5s,threeBet,0.4444
AQo,call,0.6441
AQo,threeBet,0.3559
KQo,call,0.796
KQo,threeBet,0.204
QQ,jam,0.428
QQ,threeBet,0.572
QJs,call,1.0
QTs,call,1.0
Q9s,call,1.0
AJo,call,0.694
AJo,threeBet,0.306
KJo,call,0.144
KJo,fold,0.824
KJo,threeBet,0.032
JJ,call,0.5471
JJ,jam,0.0881
JJ,threeBet,0.3648
JTs,call,1.0
J9s,call,1.0
J8s,call,0.0339
J8s,fold,0.9661
ATo,fold,0.8381
ATo,threeBet,0.1619
TT,call,0.6861
TT,threeBet,0.3139
T9s,call,1.0
T8s,call,1.0
98s,call,1.0
97s,call,1.0
87s,call,1.0
76s,call,1.0
65s,call,1.0
54s,call,1.0
