# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_060bb.zip
# HRC tree: 8-handed, effective 60.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): sb vsopen vs btn open @ 60bb
# HRC node: id=16, seat=6, sequence=FFFFFR
# Actions: ['fold', 'call', 'raise']
# VPIP estimate: 49.14%
notation,action,freq
AA,raise,1.0
AKs,fold,0.0001
AKs,call,0.0726
AKs,raise,0.9272
AQs,call,0.0131
AQs,raise,0.9869
AJs,fold,0.0016
AJs,call,0.1389
AJs,raise,0.8595
ATs,call,0.2135
ATs,raise,0.7865
A9s,fold,0.0093
A9s,call,0.5167
A9s,raise,0.4741
A8s,fold,0.0061
A8s,call,0.0041
A8s,raise,0.9898
A7s,fold,0.0092
A7s,call,0.7703
A7s,raise,0.2204
A6s,fold,0.0007
A6s,call,0.9993
A5s,fold,0.0022
A5s,call,0.4932
A5s,raise,0.5046
A4s,fold,0.0331
A4s,call,0.6516
A4s,raise,0.3154
A3s,fold,0.035
A3s,call,0.8358
A3s,raise,0.1293
A2s,fold,0.036
A2s,call,0.7766
A2s,raise,0.1873
AKo,call,0.0452
AKo,raise,0.9548
KK,raise,1.0
KQs,call,0.8511
KQs,raise,0.1489
KJs,fold,0.0151
KJs,call,0.9117
KJs,raise,0.0731
KTs,fold,0.0095
KTs,call,0.0577
KTs,raise,0.9327
K9s,fold,0.0097
K9s,call,0.9895
K9s,raise,0.0008
K8s,fold,0.0084
K8s,call,0.9904
K8s,raise,0.0011
K7s,fold,0.0004
K7s,call,0.9995
K6s,fold,0.0098
K6s,call,0.9896
K6s,raise,0.0006
K5s,fold,0.0153
K5s,call,0.9845
K5s,raise,0.0002
K4s,fold,0.0285
K4s,call,0.9708
K4s,raise,0.0007
K3s,fold,0.099
K3s,call,0.901
K2s,fold,0.0099
K2s,call,0.9896
K2s,raise,0.0005
AQo,call,0.0008
AQo,raise,0.9992
KQo,fold,0.0005
KQo,call,0.8005
KQo,raise,0.1991
QQ,raise,1.0
QJs,fold,0.0069
QJs,call,0.5866
QJs,raise,0.4065
QTs,fold,0.0028
QTs,call,0.9184
QTs,raise,0.0788
Q9s,fold,0.0167
Q9s,call,0.9831
Q9s,raise,0.0002
Q8s,fold,0.0353
Q8s,call,0.9647
Q7s,fold,0.0689
Q7s,call,0.9271
Q7s,raise,0.0039
Q6s,fold,0.755
Q6s,call,0.245
Q5s,fold,0.4202
Q5s,call,0.5797
Q5s,raise,0.0001
Q4s,fold,0.3555
Q4s,call,0.6443
Q4s,raise,0.0002
Q3s,fold,0.5796
Q3s,call,0.4204
Q2s,fold,0.9811
Q2s,call,0.0189
AJo,call,0.0187
AJo,raise,0.9813
KJo,fold,0.0015
KJo,call,0.9904
KJo,raise,0.0081
QJo,fold,0.0035
QJo,call,0.9958
QJo,raise,0.0007
JJ,call,0.0001
JJ,raise,0.9999
JTs,fold,0.1755
JTs,call,0.8234
JTs,raise,0.0011
J9s,fold,0.0242
J9s,call,0.9757
J9s,raise,0.0001
J8s,fold,0.0547
J8s,call,0.9445
J8s,raise,0.0008
J7s,fold,0.2704
J7s,call,0.7296
J6s,fold,0.9866
J6s,call,0.0132
J6s,raise,0.0002
J5s,fold,0.5988
J5s,call,0.4011
J4s,fold,0.6183
J4s,call,0.3817
J3s,fold,0.9842
J3s,call,0.0086
J3s,raise,0.0072
J2s,fold,0.7429
J2s,call,0.2571
J2s,raise,0.0001
ATo,call,0.0311
ATo,raise,0.9689
KTo,fold,0.0004
KTo,call,0.9996
QTo,fold,0.005
QTo,call,0.9949
QTo,raise,0.0001
JTo,fold,0.0009
JTo,call,0.9991
TT,call,0.0007
TT,raise,0.9993
T9s,fold,0.0149
T9s,call,0.9849
T9s,raise,0.0002
T8s,fold,0.0841
T8s,call,0.9159
T7s,fold,0.4038
