# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_060bb.zip
# HRC tree: 8-handed, effective 60.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): sb vsopen vs utg1 open @ 60bb
# HRC node: id=2158, seat=6, sequence=FRFFFF
# Actions: ['fold', 'call', 'raise']
# VPIP estimate: 45.82%
notation,action,freq
AA,raise,1.0
AKs,raise,1.0
AQs,call,0.0009
AQs,raise,0.9991
AJs,fold,0.0008
AJs,call,0.9928
AJs,raise,0.0065
ATs,fold,0.0042
ATs,call,0.3162
ATs,raise,0.6796
A9s,fold,0.009
A9s,call,0.701
A9s,raise,0.29
A8s,fold,0.0654
A8s,call,0.9166
A8s,raise,0.018
A7s,fold,0.1007
A7s,call,0.8948
A7s,raise,0.0045
A6s,fold,0.0386
A6s,call,0.9614
A5s,fold,0.1842
A5s,call,0.7966
A5s,raise,0.0192
A4s,fold,0.0071
A4s,call,0.9929
A3s,fold,0.0112
A3s,call,0.9888
A2s,fold,0.47
A2s,call,0.523
A2s,raise,0.0069
AKo,call,0.0111
AKo,raise,0.9889
KK,raise,1.0
KQs,fold,0.0017
KQs,call,0.9822
KQs,raise,0.0161
KJs,fold,0.0553
KJs,call,0.8887
KJs,raise,0.056
KTs,fold,0.0084
KTs,call,0.9914
KTs,raise,0.0002
K9s,fold,0.17
K9s,call,0.83
K8s,fold,0.019
K8s,call,0.9803
K8s,raise,0.0008
K7s,fold,0.0393
K7s,call,0.9607
K6s,fold,0.0277
K6s,call,0.9604
K6s,raise,0.0119
K5s,fold,0.7391
K5s,call,0.2609
K4s,fold,0.0912
K4s,call,0.9088
K3s,fold,0.8276
K3s,call,0.1723
K2s,fold,0.9402
K2s,call,0.0598
AQo,call,0.0428
AQo,raise,0.9572
KQo,fold,0.0001
KQo,call,0.9985
KQo,raise,0.0013
QQ,raise,1.0
QJs,fold,0.0439
QJs,call,0.952
QJs,raise,0.0042
QTs,fold,0.0574
QTs,call,0.942
QTs,raise,0.0006
Q9s,fold,0.0186
Q9s,call,0.9814
Q8s,fold,0.8117
Q8s,call,0.1883
Q7s,fold,0.0718
Q7s,call,0.9258
Q7s,raise,0.0024
Q6s,fold,0.1048
Q6s,call,0.8952
Q5s,fold,0.4941
Q5s,call,0.5058
Q5s,raise,0.0002
Q4s,fold,0.4263
Q4s,call,0.5737
Q3s,fold,0.9958
Q3s,call,0.0042
Q2s,fold,0.9034
Q2s,call,0.0958
Q2s,raise,0.0008
AJo,fold,0.0003
AJo,call,0.9325
AJo,raise,0.0672
KJo,fold,0.0043
KJo,call,0.9956
KJo,raise,0.0001
QJo,fold,0.0247
QJo,call,0.9753
JJ,call,0.1695
JJ,raise,0.8304
JTs,fold,0.0119
JTs,call,0.9881
J9s,fold,0.062
J9s,call,0.9264
J9s,raise,0.0116
J8s,fold,0.3252
J8s,call,0.6724
J8s,raise,0.0024
J7s,fold,0.1996
J7s,call,0.8003
J6s,fold,0.0268
J6s,call,0.973
J6s,raise,0.0003
J5s,fold,0.8773
J5s,call,0.1219
J5s,raise,0.0008
J4s,fold,0.9966
J4s,call,0.0034
J3s,fold,0.9458
J3s,call,0.0541
J3s,raise,0.0001
J2s,fold,0.9993
J2s,call,0.0005
J2s,raise,0.0002
ATo,fold,0.0013
ATo,call,0.9979
ATo,raise,0.0008
KTo,fold,0.0362
KTo,call,0.9637
KTo,raise,0.0001
QTo,fold,0.0138
QTo,call,0.986
QTo,raise,0.0001
JTo,fold,0.0402
JTo,call,0.9598
TT,call,0.5014
TT,raise,0.4986
T9s,fold,0.0036
T9s,call,0.9964
T8s,fold,0.2264
T8s,call,0.7736
T7s,fold,0.5993
T7s,call,0.4004
T7s,raise,0.0003
T6s,fold,0.6676
T6s,call,0.3324
T5s,fold,0.8402
T5s,call,0.1597
T5s,raise,0.0001
T4s,fold,0.8188
T4s,call,0.1811
T4s,raise,0.0001
T3s,fold,0.9994
T3s,call,0.0006
T2s,fold,0.9983
T2s,call,0.0017
A9o,fold,0.0063
A9o,call,0.9937
K9o,fold,0.0365
K9o,call,0.9635
Q9o,fold,0.0922
Q9o,call,0.9078
J9o,fold,0.1074
J9o,call,0.8926
T9o,fold,0.0047
T9o,call,0.9953
99,fold,0.0001
99,call,0.431
99,raise,0.5689
98s,fold,0.2176
98s,call,0.7823
98s,raise,0.0001
97s,fold,0.3143
97s,call,0.6857
96s,fold,0.307
96s,call,0.693
95s,fold,0.7802
95s,call,0.2197
94s,fold,0.9859
94s,call,0.012
94s,raise,0.0021
93s,fold,0.9743
93s,call,0.0257
92s,fold,0.9949
92s,call,0.005
A8o,fold,0.0027
A8o,call,0.9973
K8o,fold,0.4895
K8o,call,0.5105
Q8o,fold,0.3809
Q8o,call,0.6191
J8o,fold,0.6795
J8o,call,0.3205
