# poker.academy CE-Symmetric — 60bb vsopen | hero SB vs CO
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 60bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,1.0
44,call,1.0
55,call,1.0
66,call,0.9782
66,threeBet,0.0218
77,call,0.7461
77,threeBet,0.2539
88,call,0.444
88,threeBet,0.556
99,call,0.588
99,threeBet,0.412
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,threeBet,1.0
AJs,call,0.662
AJs,threeBet,0.338
ATs,call,0.1679
ATs,threeBet,0.8321
A9s,call,0.2279
A9s,threeBet,0.7721
A8s,call,0.3659
A8s,threeBet,0.6341
A7s,call,0.5041
A7s,threeBet,0.4959
A6s,call,0.5219
A6s,threeBet,0.4781
A5s,call,0.214
A5s,threeBet,0.786
A4s,call,0.6
A4s,threeBet,0.4
A3s,call,1.0
A2s,call,1.0
AKo,threeBet,1.0
KK,threeBet,1.0
KQs,call,0.3659
KQs,threeBet,0.6341
KJs,call,0.064
KJs,threeBet,0.936
KTs,call,0.1959
KTs,threeBet,0.8041
K9s,call,0.508
K9s,threeBet,0.492
K8s,call,0.6181
K8s,threeBet,0.3819
K7s,call,0.9782
K7s,threeBet,0.0218
K6s,call,0.726
K6s,threeBet,0.274
K5s,call,1.0
K4s,call,1.0
K3s,call,0.68
K3s,fold,0.32
AQo,call,0.588
AQo,threeBet,0.412
KQo,call,0.016
KQo,threeBet,0.984
QQ,threeBet,1.0
QJs,call,0.192
QJs,threeBet,0.808
QTs,call,0.102
QTs,threeBet,0.898
Q9s,call,0.536
Q9s,threeBet,0.464
Q8s,call,0.99
Q8s,threeBet,0.01
Q7s,call,0.0079
Q7s,fold,0.9921
Q6s,call,0.256
Q6s,fold,0.744
AJo,call,0.0079
AJo,threeBet,0.9921
KJo,call,0.492
KJo,threeBet,0.508
QJo,call,0.8938
QJo,threeBet,0.1062
JJ,threeBet,1.0
JTs,call,0.01
JTs,threeBet,0.99
J9s,call,0.578
J9s,threeBet,0.422
J8s,call,0.6914
J8s,threeBet,0.3086
ATo,call,0.464
ATo,threeBet,0.536
KTo,call,0.728
KTo,threeBet,0.272
QTo,call,0.796
QTo,fold,0.204
JTo,call,0.69
JTo,fold,0.31
TT,threeBet,1.0
T9s,call,0.3019
T9s,threeBet,0.6981
T8s,call,0.5
T8s,threeBet,0.5
T7s,call,0.086
T7s,fold,0.914
A9o,call,1.0
98s,call,0.406
98s,threeBet,0.594
97s,call,0.8641
97s,fold,0.064
97s,threeBet,0.0719
A8o,call,0.086
A8o,fold,0.914
87s,call,0.5801
87s,threeBet,0.4199
86s,call,0.7941
86s,fold,0.2059
76s,call,0.438
76s,threeBet,0.562
65s,call,0.8142
65s,fold,0.0239
65s,threeBet,0.1619
54s,call,0.9002
54s,fold,0.0919
54s,threeBet,0.0079
