# poker.academy CE-Symmetric — 60bb vs3bet | hero MP vs LJ
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 60bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,1.0
44,call,1.0
55,call,1.0
66,call,1.0
77,call,1.0
88,call,0.9942
88,threeBet,0.0058
99,call,1.0
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,call,1.0
AJs,call,1.0
ATs,call,0.8161
ATs,threeBet,0.1839
A9s,call,1.0
A8s,call,0.6161
A8s,fold,0.0979
A8s,threeBet,0.286
A7s,fold,0.8762
A7s,threeBet,0.1238
A6s,call,0.352
A6s,fold,0.648
A5s,call,0.776
A5s,threeBet,0.224
A4s,call,0.812
A4s,threeBet,0.188
A3s,call,0.5409
A3s,fold,0.3733
A3s,threeBet,0.0858
AKo,call,0.1078
AKo,jam,0.8442
AKo,threeBet,0.048
KK,jam,0.2258
KK,threeBet,0.7742
KQs,call,1.0
KJs,call,0.6821
KJs,threeBet,0.3179
KTs,call,0.8922
KTs,threeBet,0.1078
K9s,call,0.7048
K9s,threeBet,0.2952
K7s,call,0.5102
K7s,fold,0.4898
K6s,call,0.9021
K6s,threeBet,0.0979
K5s,call,1.0
AQo,call,0.7301
AQo,threeBet,0.2699
KQo,call,0.0139
KQo,fold,0.9182
KQo,threeBet,0.0679
QQ,call,0.252
QQ,jam,0.5321
QQ,threeBet,0.2159
QJs,call,1.0
QTs,call,1.0
AJo,fold,0.898
AJo,threeBet,0.102
JJ,call,0.5901
JJ,threeBet,0.4099
JTs,call,1.0
J9s,call,0.2819
J9s,fold,0.7181
TT,call,0.6981
TT,threeBet,0.3019
T9s,call,1.0
T8s,call,0.3939
T8s,fold,0.6061
98s,call,0.5364
98s,fold,0.4636
87s,call,1.0
76s,call,1.0
65s,call,1.0
54s,call,1.0
