# poker.academy CE-Symmetric — 70bb vsopen | hero CO vs HJ
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 70bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,0.492
22,fold,0.508
33,call,0.486
33,fold,0.514
44,call,0.62
44,fold,0.38
55,call,0.754
55,threeBet,0.246
66,call,0.6341
66,threeBet,0.3659
77,call,0.514
77,threeBet,0.486
88,call,0.53
88,threeBet,0.47
99,call,0.4781
99,threeBet,0.5219
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,threeBet,1.0
AJs,call,0.514
AJs,threeBet,0.486
ATs,call,0.8261
ATs,threeBet,0.1739
A9s,call,0.3979
A9s,threeBet,0.6021
A8s,call,0.22
A8s,threeBet,0.78
A7s,call,0.354
A7s,threeBet,0.646
A6s,call,0.1259
A6s,threeBet,0.8741
A5s,call,0.342
A5s,threeBet,0.658
A4s,call,0.5041
A4s,threeBet,0.4959
A3s,call,0.54
A3s,fold,0.3441
A3s,threeBet,0.1159
AKo,threeBet,1.0
KK,threeBet,1.0
KQs,call,0.684
KQs,threeBet,0.316
KJs,call,0.68
KJs,threeBet,0.32
KTs,call,0.598
KTs,threeBet,0.402
K9s,call,0.106
K9s,threeBet,0.894
K8s,call,0.1739
K8s,threeBet,0.8261
K7s,call,0.0698
K7s,fold,0.9302
K6s,call,0.0698
K6s,fold,0.9302
AQo,call,0.5759
AQo,threeBet,0.4241
KQo,call,0.3299
KQo,threeBet,0.6701
QQ,threeBet,1.0
QJs,call,0.8101
QJs,threeBet,0.1899
QTs,call,0.6721
QTs,threeBet,0.3279
Q9s,call,0.3179
Q9s,threeBet,0.6821
AJo,call,0.284
AJo,threeBet,0.716
KJo,call,0.316
KJo,threeBet,0.684
JJ,call,0.0719
JJ,threeBet,0.9281
JTs,call,0.3441
JTs,threeBet,0.6559
J9s,call,0.1579
J9s,threeBet,0.8421
ATo,call,0.2479
ATo,threeBet,0.7521
KTo,fold,0.7361
KTo,threeBet,0.2639
TT,call,0.5161
TT,threeBet,0.4839
T9s,call,0.6221
T9s,threeBet,0.3779
T8s,call,0.0339
T8s,fold,0.8902
T8s,threeBet,0.0759
98s,call,0.418
98s,fold,0.582
87s,call,0.0619
87s,fold,0.9381
76s,call,0.0538
76s,fold,0.9462
