# poker.academy CE-Symmetric — 70bb vsopen | hero LJ vs MP
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 70bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,0.1259
22,fold,0.8741
33,call,0.0879
33,fold,0.9121
44,call,0.1078
44,fold,0.8922
55,call,0.1639
55,fold,0.8361
66,call,0.3448
66,fold,0.523
66,threeBet,0.1322
77,call,0.4799
77,fold,0.128
77,threeBet,0.3921
88,call,0.502
88,threeBet,0.498
99,call,0.4039
99,threeBet,0.5961
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,call,0.402
AQs,threeBet,0.598
AJs,call,0.78
AJs,threeBet,0.22
ATs,call,0.4359
ATs,threeBet,0.5641
A9s,call,0.278
A9s,threeBet,0.722
A8s,call,0.208
A8s,fold,0.0939
A8s,threeBet,0.6981
A5s,call,0.358
A5s,threeBet,0.642
A4s,call,0.1519
A4s,fold,0.8001
A4s,threeBet,0.048
AKo,call,0.198
AKo,threeBet,0.802
KK,threeBet,1.0
KQs,call,0.888
KQs,threeBet,0.112
KJs,call,0.466
KJs,threeBet,0.534
KTs,call,0.2379
KTs,threeBet,0.7621
K9s,fold,0.4039
K9s,threeBet,0.5961
AQo,call,0.3139
AQo,threeBet,0.6861
KQo,call,0.0779
KQo,fold,0.284
KQo,threeBet,0.6381
QQ,call,0.1579
QQ,threeBet,0.8421
QJs,call,0.204
QJs,threeBet,0.796
QTs,call,0.48
QTs,threeBet,0.52
AJo,call,0.0521
AJo,fold,0.4549
AJo,threeBet,0.493
JJ,call,0.566
JJ,threeBet,0.434
JTs,call,0.549
JTs,fold,0.3733
JTs,threeBet,0.0777
TT,call,0.402
TT,threeBet,0.598
T9s,call,0.0619
T9s,fold,0.9381
65s,call,0.016
65s,fold,0.984
54s,call,0.0659
54s,fold,0.9341
