# poker.academy CE-Symmetric — 70bb vs3bet | hero MP vs SB
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 70bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,1.0
44,call,1.0
55,call,0.5425
55,fold,0.4575
66,call,0.726
66,fold,0.274
77,call,0.7021
77,fold,0.2979
88,call,0.9381
88,fold,0.0619
99,call,1.0
AA,call,0.798
AA,threeBet,0.202
AKs,call,1.0
AQs,call,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,0.8321
A9s,fold,0.1679
A8s,call,0.4359
A8s,fold,0.5641
A7s,call,0.5219
A7s,fold,0.4781
A6s,call,0.17
A6s,fold,0.83
A5s,call,1.0
A4s,call,1.0
A3s,call,0.7076
A3s,fold,0.1362
A3s,threeBet,0.1562
AKo,call,0.366
AKo,jam,0.544
AKo,threeBet,0.09
KK,call,0.3972
KK,jam,0.5351
KK,threeBet,0.0677
KQs,call,1.0
KJs,call,1.0
KTs,call,1.0
K9s,call,0.32
K9s,fold,0.68
K8s,call,0.0058
K8s,fold,0.9163
K8s,threeBet,0.0779
K7s,call,0.8902
K7s,threeBet,0.1098
K6s,call,0.607
K6s,threeBet,0.393
AQo,call,1.0
KQo,call,0.1663
KQo,fold,0.8337
QQ,call,1.0
QJs,call,1.0
QTs,call,1.0
JJ,call,1.0
JTs,call,1.0
J9s,call,0.2639
J9s,fold,0.7361
TT,call,1.0
T9s,call,1.0
98s,call,1.0
87s,call,1.0
76s,call,1.0
