# poker.academy CE-Symmetric — 80bb vs3bet | hero CO vs BTN
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 80bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,1.0
44,call,1.0
55,call,1.0
66,call,1.0
77,call,0.8001
77,threeBet,0.1999
88,call,0.7951
88,threeBet,0.2049
99,call,0.5751
99,threeBet,0.4249
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,call,0.31
AQs,threeBet,0.69
AJs,call,1.0
ATs,call,1.0
A9s,call,1.0
A8s,call,0.84
A8s,threeBet,0.16
A7s,call,0.8801
A7s,threeBet,0.1199
A6s,call,0.8151
A6s,threeBet,0.1849
A5s,call,0.985
A5s,threeBet,0.015
A4s,call,0.3651
A4s,jam,0.5751
A4s,threeBet,0.0598
A3s,call,1.0
A2s,call,0.7701
A2s,jam,0.0249
A2s,threeBet,0.205
AKo,jam,0.7351
AKo,threeBet,0.2649
KK,threeBet,1.0
KQs,call,1.0
KJs,call,1.0
KTs,call,1.0
K9s,call,0.5801
K9s,threeBet,0.4199
K8s,call,0.91
K8s,threeBet,0.09
K7s,call,0.83
K7s,threeBet,0.17
K6s,call,0.9551
K6s,threeBet,0.0449
K5s,call,0.8751
K5s,threeBet,0.1249
AQo,call,0.4949
AQo,threeBet,0.5051
KQo,call,0.8751
KQo,threeBet,0.1249
QQ,threeBet,1.0
QJs,call,0.225
QJs,jam,0.775
QTs,call,1.0
Q9s,call,1.0
Q8s,call,1.0
Q6s,call,0.8901
Q6s,fold,0.1099
AJo,call,0.615
AJo,threeBet,0.385
KJo,call,0.7401
KJo,threeBet,0.2599
QJo,call,0.29
QJo,fold,0.71
JJ,jam,0.3499
JJ,threeBet,0.6501
JTs,call,1.0
J9s,call,0.8101
J9s,threeBet,0.1899
J8s,call,0.7401
J8s,threeBet,0.2599
ATo,call,0.6399
ATo,threeBet,0.3601
KTo,fold,0.78
KTo,threeBet,0.22
TT,call,0.1099
TT,jam,0.5551
TT,threeBet,0.335
T9s,call,1.0
T8s,call,1.0
T7s,call,0.215
T7s,fold,0.785
A9o,fold,0.905
A9o,threeBet,0.095
98s,call,1.0
97s,call,1.0
96s,call,0.2049
96s,fold,0.7951
87s,call,1.0
86s,call,1.0
76s,call,1.0
75s,call,1.0
65s,call,1.0
64s,call,1.0
54s,call,1.0
