# poker.academy CE-Symmetric — 80bb vs3bet | hero HJ vs BTN
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 80bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,1.0
44,call,1.0
55,call,1.0
66,call,1.0
77,call,0.925
77,threeBet,0.075
88,call,0.9302
88,threeBet,0.0698
99,call,0.7401
99,threeBet,0.2599
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,call,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,0.7902
A9s,threeBet,0.2098
A8s,call,0.91
A8s,threeBet,0.09
A7s,call,0.78
A7s,threeBet,0.22
A6s,call,0.9302
A6s,threeBet,0.0698
A5s,call,0.8652
A5s,threeBet,0.1348
A4s,call,0.8051
A4s,threeBet,0.1949
A3s,call,0.9501
A3s,threeBet,0.0499
A2s,call,0.675
A2s,threeBet,0.325
AKo,jam,0.6551
AKo,threeBet,0.3449
KK,threeBet,1.0
KQs,call,1.0
KJs,call,1.0
KTs,call,0.675
KTs,threeBet,0.325
K9s,call,0.7451
K9s,threeBet,0.2549
K8s,call,1.0
K7s,call,0.0551
K7s,fold,0.8898
K7s,threeBet,0.0551
K6s,call,0.9501
K6s,threeBet,0.0499
K5s,call,0.085
K5s,fold,0.8551
K5s,threeBet,0.0599
AQo,call,0.465
AQo,threeBet,0.535
KQo,call,0.8151
KQo,threeBet,0.1849
QQ,threeBet,1.0
QJs,call,0.855
QJs,threeBet,0.145
QTs,call,1.0
Q9s,call,1.0
Q8s,call,0.455
Q8s,fold,0.545
AJo,call,0.6601
AJo,threeBet,0.3399
KJo,call,0.155
KJo,fold,0.62
KJo,threeBet,0.225
JJ,call,0.08
JJ,jam,0.45
JJ,threeBet,0.47
JTs,call,0.9501
JTs,threeBet,0.0499
J9s,call,0.855
J9s,threeBet,0.145
ATo,fold,0.7401
ATo,threeBet,0.2599
TT,call,0.5699
TT,threeBet,0.4301
T9s,call,1.0
T8s,call,1.0
98s,call,1.0
97s,call,0.68
97s,fold,0.32
87s,call,1.0
86s,call,1.0
76s,call,1.0
65s,call,1.0
54s,call,1.0
