# poker.academy CE-Symmetric — 80bb vs3bet | hero LJ vs HJ
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 80bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,1.0
44,call,1.0
55,call,0.8101
55,fold,0.1899
66,call,1.0
77,call,0.9601
77,threeBet,0.0399
88,call,0.915
88,threeBet,0.085
99,call,0.9701
99,threeBet,0.0299
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,call,1.0
AJs,call,1.0
ATs,call,0.615
ATs,threeBet,0.385
A9s,call,1.0
A8s,call,0.6651
A8s,threeBet,0.3349
A6s,fold,0.8652
A6s,threeBet,0.1348
A5s,call,0.5599
A5s,threeBet,0.4401
A4s,call,0.7
A4s,threeBet,0.3
A3s,call,0.2189
A3s,fold,0.7265
A3s,threeBet,0.0546
AKo,jam,0.8542
AKo,threeBet,0.1458
KK,threeBet,1.0
KQs,call,1.0
KJs,call,0.29
KJs,threeBet,0.71
KTs,call,0.8251
KTs,threeBet,0.1749
K9s,call,0.7951
K9s,threeBet,0.2049
K6s,call,0.5621
K6s,fold,0.3784
K6s,threeBet,0.0595
AQo,call,0.545
AQo,threeBet,0.455
KQo,call,0.2049
KQo,fold,0.6752
KQo,threeBet,0.1199
QQ,call,0.0698
QQ,jam,0.4901
QQ,threeBet,0.4401
QJs,call,0.915
QJs,threeBet,0.085
QTs,call,1.0
AJo,fold,0.905
AJo,threeBet,0.095
JJ,call,0.3901
JJ,jam,0.1349
JJ,threeBet,0.475
JTs,call,0.9001
JTs,threeBet,0.0999
J9s,call,0.315
J9s,fold,0.685
TT,call,0.68
TT,threeBet,0.32
T9s,call,1.0
T8s,call,0.8901
T8s,fold,0.1099
98s,call,0.1849
98s,fold,0.8151
87s,call,1.0
76s,call,0.915
76s,threeBet,0.085
65s,call,1.0
54s,call,1.0
