# poker.academy CE-Symmetric — 80bb vs3bet | hero SB vs BB
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 80bb (GTO ChipEV, 1bb ante)
notation,action,freq
33,call,1.0
44,call,1.0
55,call,1.0
66,call,1.0
77,call,1.0
88,call,0.9936
88,threeBet,0.0064
99,call,0.9707
99,threeBet,0.0293
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,threeBet,1.0
AJs,call,1.0
ATs,call,0.8209
ATs,jam,0.1791
A9s,call,1.0
A8s,call,1.0
A7s,call,1.0
A6s,call,1.0
A5s,call,0.7102
A5s,jam,0.2898
A4s,call,0.9551
A4s,jam,0.0449
AKo,jam,0.6305
AKo,threeBet,0.3695
KK,threeBet,1.0
KQs,call,1.0
KJs,call,1.0
KTs,call,1.0
K9s,call,1.0
K8s,call,1.0
K7s,call,0.9803
K7s,threeBet,0.0197
K6s,call,1.0
AQo,call,0.7101
AQo,threeBet,0.2899
KQo,call,0.8182
KQo,threeBet,0.1818
QQ,threeBet,1.0
QJs,call,1.0
QTs,call,1.0
Q9s,call,1.0
Q8s,call,1.0
AJo,call,0.4167
AJo,threeBet,0.5833
KJo,call,0.375
KJo,threeBet,0.625
JJ,jam,0.4257
JJ,threeBet,0.5743
JTs,call,1.0
J9s,call,0.9218
J9s,threeBet,0.0782
J5s,threeBet,1.0
ATo,threeBet,1.0
KTo,call,0.0851
KTo,threeBet,0.9149
TT,call,0.8062
TT,threeBet,0.1938
T9s,call,0.9893
T9s,threeBet,0.0107
T8s,call,0.9435
T8s,threeBet,0.0565
A9o,threeBet,1.0
K9o,fold,0.3713
K9o,threeBet,0.6287
98s,call,1.0
A8o,threeBet,1.0
87s,call,1.0
86s,call,1.0
85s,call,1.0
A7o,fold,0.8516
A7o,threeBet,0.1484
76s,call,1.0
75s,call,1.0
65s,call,1.0
64s,call,1.0
A5o,threeBet,1.0
54s,call,1.0
53s,call,1.0
A4o,threeBet,1.0
43s,call,1.0
