# poker.academy CE-Symmetric — 80bb vsopen | hero SB vs LJ
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 80bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,1.0
44,call,1.0
55,call,1.0
66,call,0.9601
66,threeBet,0.0399
77,call,0.9501
77,threeBet,0.0499
88,call,0.7201
88,threeBet,0.2799
99,call,0.445
99,threeBet,0.555
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,threeBet,1.0
AJs,call,0.01
AJs,threeBet,0.99
ATs,threeBet,1.0
A9s,call,0.4
A9s,threeBet,0.6
A8s,call,0.855
A8s,threeBet,0.145
A7s,call,1.0
A6s,call,0.7451
A6s,threeBet,0.2549
A5s,call,0.525
A5s,threeBet,0.475
A4s,call,0.7501
A4s,threeBet,0.2499
A3s,call,1.0
A2s,call,1.0
AKo,call,0.095
AKo,threeBet,0.905
KK,threeBet,1.0
KQs,threeBet,1.0
KJs,threeBet,1.0
KTs,call,0.0999
KTs,threeBet,0.9001
K9s,call,0.775
K9s,threeBet,0.225
K8s,call,1.0
K7s,call,0.675
K7s,fold,0.325
K6s,call,0.7501
K6s,fold,0.2499
K5s,call,0.29
K5s,fold,0.71
AQo,call,0.3349
AQo,threeBet,0.6651
KQo,call,0.8101
KQo,threeBet,0.1899
QQ,threeBet,1.0
QJs,call,0.0299
QJs,threeBet,0.9701
QTs,call,0.71
QTs,threeBet,0.29
Q9s,call,1.0
Q8s,call,0.62
Q8s,fold,0.38
AJo,call,0.925
AJo,threeBet,0.075
KJo,call,0.555
KJo,fold,0.445
QJo,call,0.2849
QJo,fold,0.7151
JJ,call,0.15
JJ,threeBet,0.85
JTs,call,0.2599
JTs,threeBet,0.7401
J9s,call,0.4
J9s,threeBet,0.6
J8s,call,0.5051
J8s,fold,0.4949
ATo,call,0.8002
ATo,fold,0.1749
ATo,threeBet,0.0249
KTo,call,0.075
KTo,fold,0.925
QTo,call,0.0349
QTo,fold,0.9651
JTo,call,0.09
JTo,fold,0.91
TT,call,0.2799
TT,threeBet,0.7201
T9s,call,0.325
T9s,threeBet,0.675
T8s,call,0.8101
T8s,threeBet,0.1899
98s,call,0.8602
98s,threeBet,0.1398
97s,call,0.7301
97s,fold,0.2699
87s,call,0.545
87s,threeBet,0.455
86s,call,0.47
86s,fold,0.53
76s,call,0.5901
76s,threeBet,0.4099
75s,call,0.0549
75s,fold,0.9451
65s,call,0.7401
65s,threeBet,0.2599
54s,call,0.9302
54s,threeBet,0.0698
53s,call,0.015
53s,fold,0.985
