# poker.academy CE-Symmetric — 80bb vs3bet | hero EP vs MP
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 80bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,1.0
44,call,1.0
55,call,0.7947
55,fold,0.2053
66,call,0.8602
66,fold,0.1398
77,call,0.59
77,fold,0.4
77,threeBet,0.01
88,call,0.6101
88,fold,0.35
88,threeBet,0.0399
99,call,0.7802
99,fold,0.1099
99,threeBet,0.1099
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,call,1.0
AJs,call,0.605
AJs,threeBet,0.395
ATs,call,0.8652
ATs,threeBet,0.1348
A5s,call,0.6349
A5s,threeBet,0.3651
A4s,call,0.4876
A4s,fold,0.2586
A4s,threeBet,0.2538
AKo,call,0.17
AKo,jam,0.7951
AKo,threeBet,0.0349
KK,jam,0.685
KK,threeBet,0.315
KQs,call,0.6501
KQs,threeBet,0.3499
KJs,call,0.8201
KJs,threeBet,0.1799
KTs,call,0.7151
KTs,threeBet,0.2849
AQo,call,0.225
AQo,fold,0.4301
AQo,threeBet,0.3449
QQ,call,0.465
QQ,threeBet,0.535
QJs,call,0.5801
QJs,fold,0.4199
QTs,call,0.29
QTs,fold,0.71
JJ,call,0.62
JJ,jam,0.01
JJ,threeBet,0.37
JTs,call,0.63
JTs,fold,0.37
TT,call,0.9402
TT,threeBet,0.0598
T9s,call,0.8001
T9s,fold,0.1999
98s,call,0.6188
98s,fold,0.3812
87s,call,1.0
76s,call,0.8251
76s,threeBet,0.1749
65s,call,1.0
54s,call,1.0
